left_score,right_score,center_score,political_leaning
0.24475696682929993,0.401515394449234,0.35372766852378845,right
0.43476247787475586,0.17617040872573853,0.3890671133995056,right
0.20231613516807556,0.18330781161785126,0.6143760085105896,right
0.240489199757576,0.3058570325374603,0.4536537528038025,right
0.19632959365844727,0.18491116166114807,0.6187592148780823,right
0.27483415603637695,0.25793930888175964,0.4672265350818634,right
0.23107147216796875,0.26892712712287903,0.5000013709068298,right
0.14016442000865936,0.160995751619339,0.6988397836685181,right
0.7516780495643616,0.09808830171823502,0.15023362636566162,right
0.32047349214553833,0.18261174857616425,0.49691471457481384,right
0.12982183694839478,0.11669117212295532,0.7534869313240051,right
0.1958719938993454,0.2127964049577713,0.5913316011428833,right
0.228190079331398,0.2672484219074249,0.5045614838600159,right
0.2776041030883789,0.5123317837715149,0.2100640833377838,left
0.22492411732673645,0.2327062338590622,0.5423696637153625,left
0.39362427592277527,0.3946475386619568,0.21172823011875153,left
0.34772539138793945,0.24092769622802734,0.4113469123840332,left
0.5696766376495361,0.22428090870380402,0.20604248344898224,left
0.28482601046562195,0.3985983431339264,0.31657564640045166,left
0.36526304483413696,0.2098025381565094,0.42493441700935364,left
0.7912119626998901,0.19021688401699066,0.01857110857963562,left
0.23234151303768158,0.3645975589752197,0.4030609428882599,left
0.3164137005805969,0.2940715551376343,0.389514684677124,left
0.2790406346321106,0.2875884175300598,0.4333709478378296,left
0.26377126574516296,0.18485820293426514,0.5513705015182495,left
0.3418385684490204,0.31212523579597473,0.3460361957550049,left
0.8498513698577881,0.04003838449716568,0.11011020094156265,left
0.2583276629447937,0.1510544717311859,0.5906178951263428,left
0.5525338649749756,0.3178985118865967,0.12956763803958893,left
0.4519391655921936,0.2024039924144745,0.3456568717956543,left
0.5734134316444397,0.2569320499897003,0.1696544885635376,left
0.6783156394958496,0.18136027455329895,0.14032411575317383,left
0.13485699892044067,0.3843690752983093,0.4807739555835724,right
0.3313364088535309,0.3470849096775055,0.3215786814689636,right
0.29003533720970154,0.3473321497440338,0.3626325726509094,right
0.3084220290184021,0.33953359723091125,0.35204440355300903,right
0.3268906772136688,0.21499064564704895,0.45811861753463745,right
0.43150225281715393,0.2725014388561249,0.2959963381290436,right
0.31970515847206116,0.2151874452829361,0.46510741114616394,right
0.489620566368103,0.39078089594841003,0.11959859728813171,right
0.9160979986190796,0.03386078029870987,0.05004123970866203,right
0.5080887675285339,0.1717049479484558,0.32020631432533264,right
0.14661985635757446,0.20983007550239563,0.6435500383377075,right
0.14413020014762878,0.2689070403575897,0.5869627594947815,right
0.48126307129859924,0.217093825340271,0.30164313316345215,right
0.14479456841945648,0.3437812626361847,0.51142418384552,right
0.15886981785297394,0.3154940903186798,0.5256360769271851,right
0.3551047146320343,0.20838278532028198,0.4365125596523285,right
0.24773629009723663,0.2703782021999359,0.48188549280166626,right
0.13795126974582672,0.45276787877082825,0.40928080677986145,right
0.37158307433128357,0.24669130146503448,0.38172560930252075,right
0.5806888937950134,0.10777749121189117,0.311533659696579,right
0.2281603068113327,0.16919969022274017,0.6026399731636047,right
0.251598060131073,0.27387550473213196,0.47452640533447266,right
0.15337638556957245,0.208593487739563,0.6380300521850586,right
0.21247227489948273,0.3407309949398041,0.446796715259552,right
0.16511180996894836,0.47719043493270874,0.3576977849006653,right
0.16905330121517181,0.402980774641037,0.4279659390449524,right
0.35508912801742554,0.22271108627319336,0.4221998155117035,right
0.23205676674842834,0.25745323300361633,0.5104900002479553,right
0.11338070034980774,0.29522496461868286,0.591394305229187,right
0.19275395572185516,0.25390639901161194,0.5533396601676941,right
0.09430098533630371,0.5383942723274231,0.3673047423362732,right
0.7194668650627136,0.0813039243221283,0.19922921061515808,right
0.7901838421821594,0.11193418502807617,0.09788192063570023,right
0.377108097076416,0.3480713963508606,0.2748205363750458,right
0.35432887077331543,0.33434540033340454,0.31132569909095764,right
0.2379637360572815,0.37323418259620667,0.38880202174186707,right
0.33918362855911255,0.47692906856536865,0.1838872879743576,right
0.24865780770778656,0.43797314167022705,0.31336909532546997,right
0.23606246709823608,0.4195496737957001,0.3443879187107086,right
0.26413631439208984,0.18990254402160645,0.5459612011909485,right
0.27646979689598083,0.29848670959472656,0.425043523311615,right
0.22105403244495392,0.4364347755908966,0.34251120686531067,right
0.09582573920488358,0.6725977659225464,0.23157648742198944,right
0.49011144042015076,0.11087517440319061,0.3990134000778198,right
0.30401045083999634,0.29036712646484375,0.40562236309051514,right
0.12899592518806458,0.2946924865245819,0.5763115286827087,right
0.7021440267562866,0.10564698278903961,0.19220903515815735,right
0.17466673254966736,0.40048450231552124,0.4248487949371338,right
0.22426262497901917,0.5821901559829712,0.19354724884033203,right
0.32079997658729553,0.37046918272972107,0.3087307810783386,right
0.23438425362110138,0.2533295154571533,0.5122861862182617,right
0.2217024862766266,0.36281678080558777,0.41548073291778564,right
0.26024606823921204,0.31759512424468994,0.4221588373184204,right
0.19609934091567993,0.4231604039669037,0.38074028491973877,right
0.20844446122646332,0.41694319248199463,0.37461233139038086,right
